Dataset,Adjustment,Baseline,GaussianNB,RandomForest
Bladder Batch,Unadjusted,0.3333333,0.6255952,0.6924603
,Scale,,0.3150794,0.4694444
,ComBat,,0,0.0446429
,Confounded,,0.4025794,0.6047619
GSE37199,Unadjusted,0.5376344,0.8031401,0.8592995
,Scale,,0.9299517,1
,ComBat,,0.2379227,0.3097826
,Confounded,,0.7759662,0.7608696
MNIST,Unadjusted,0.5,1,1
,Scale,,0.9918667,0.9998667
,ComBat,,0.4662667,0.9990667
,Confounded,,0.7061333,0.9502667
TCGA,Unadjusted,0.1169122,0.8323952,0.8734696
,Scale,,0.8455972,0.9654503
,ComBat,,0.2926662,0.9640265
,Confounded,,0.4842211,0.5672394